tvdb_id	tvdb_season	" imdb_id"	anilist_id	year	Award	notes
267440	3	tv	99147	2020	Best Director	Attack on Titan (S3)
307375	1	tv	101338	2020	Best Animation	Mob Psycho 100 (S2)
354167	1	tv	101347	2020	Best Character Design	Dororo (S1)
348545	1	tv	101922	2020	Best Fight Scene	Kimetsu no Yaiba (S1)
359274	1	tv	101348	2020	Best Drama	Vinland Saga (S1)
354198	1	tv	101921	2020	Best Comedy	Kaguya-sama: Love Is War (S1)
354154	1	tv	101281	2020	Best Score	Carole & Tuesday (S1)
354198	1	tv	101921	2020	Best Couple	Kaguya-sama: Love Is War (S1)
348002	1	tv	101759	2020	Best Fantasy	The Promised Neverland (S1)
338192	1	tv	98460	2019	Anime of the Year	Devilman Crybaby (S1)
352408	1	tv	101280	2019	Best Hero	That Time I Got Reincarnated as a Slime (S1)
318893	3	tv	100166	2019	Best Villain	My Hero Academia (S3)
318893	3	tv	100166	2019	Best Boy	My Hero Academia (S3)
345596	1	tv	101291	2019	Best Girl	Rascal Does Not Dream of Bunny Girl Senpai (S1)
337017	1	tv	99423	2019	Best Opening	DARLING in the FRANXX (S1)
267440	3	tv	99147	2019	Best Ending	Attack on Titan (S3)
351953	1	tv	103871	2019	Best VA Performance (Japanese)	ZOMBIE LAND SAGA (S1)
318893	3	tv	100166	2019	Best VA Performance (English)	My Hero Academia (S3)
338192	1	tv	98460	2019	Best Director	Devilman Crybaby (S1)
330139	1	tv	21827	2019	Best Animation	Violet Evergarden (S1)
262954	4	tv	102883	2019	Best Character Design	JoJo’s Bizzare Adventure (S4)
318893	3	tv	100166	2019	Best Fight Scene	My Hero Academia (S3)
movie	movie	tt7745068	100723	2019	Best Film	My Hero Academia: Two Heroes
295068	5	tv	21175	2019	Best Continuing Series	Dragon Ball Super (S5)
326109	1	tv	97986	2018	Anime of the Year	Made in Abyss (S1)
305074	2	tv	21856	2018	Best Hero	My Hero Academia (S2)
305074	2	tv	21856	2018	Best Villain	My Hero Academia (S2)
305074	2	tv	21856	2018	Best Boy	My Hero Academia (S2)
305074	2	tv	21856	2018	Best Girl	My Hero Academia (S2)
305074	2	tv	21856	2018	Best Opening	My Hero Academia (S2)
318893	1	tv	21776	2018	Best Ending	Miss Kobayashi’s Dragon Maid (S1)
305074	2	tv	21856	2018	Best Animation	My Hero Academia (S2)
316842	1	tv	98436	2018	Best Drama	The Ancient Magus’ Bride (S1)
318893	1	tv	21776	2018	Best Comedy	Miss Kobayashi’s Dragon Maid (S1)
326109	1	tv	97986	2018	Best Score	Made in Abyss (S1)
305074	2	tv	21856	2018	Best Action	My Hero Academia (S2)
movie	movie	tt5311514	21519	2018	Best Film	Your Name
306269	2	tv	98478	2018	Best Continuing Series	March Comes in Like a Lion (S2)
331787	1	tv	98707	2018	Best CGI	Land of the Lustrous (S1)
332983	1	tv	99420	2018	Best Slice of Life	Girls’ Last Tour (S1)
317004	1	tv	21709	2017	Anime of the Year	Yuri!!! On ICE (S1)
305074	1	tv	21459	2017	Best Hero	My Hero Academia (S1)
303071	1	tv	21234	2017	Best Villain	ERASED (S1)
317004	1	tv	21709	2017	Best Boy	Yuri!!! On ICE (S1)
305089	1	tv	21355	2017	Best Girl	Re: ZERO, Starting Life in Another World (S1)
317004	1	tv	21709	2017	Best Opening	Yuri!!! On ICE (S1)
317004	1	tv	21709	2017	Best Ending	Yuri!!! On ICE (S1)
317004	1	tv	21709	2017	Best Animation	Yuri!!! On ICE (S1)
307375	1	tv	21507	2017	Best Fight Scene	Mob Psycho 100 (S1)
303071	1	tv	21234	2017	Best Drama	ERASED (S1)
306153	1	tv	21595	2017	Best Comedy	Haven’t You Heard? I’m Sakamoto! (S1)
317004	1	tv	21709	2017	Best Couple	Yuri!!! On ICE (S1)
307375	1	tv	21507	2017	Best Action	Mob Psycho 100 (S1)
317004	1	tv	21709	2017	Most Heartwarming Scene	Yuri!!! On ICE (S1)
